results/objectId,results/location/__type,results/location/latitude,results/location/longitude,results/cityId,results/name,results/country,results/countryCode,results/featureCode,results/adminCode,results/population,results/createdAt,results/updatedAt,results/muni
H04bLuA6Xw,GeoPoint,42.59692,22.95634,726489,Batanovtsi,Bulgaria,BG,PPL,49,2519,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,PER32-18
Fr5ugIGLgl,GeoPoint,41.9,25,726381,Topolovo,Bulgaria,BG,PPL,51,2600,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,PDV01-19
XOJgyJ2gGo,GeoPoint,43.56667,27.83333,726418,Dobrich,Bulgaria,BG,PPLA,40,94831,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
BHUgQMTiEN,GeoPoint,42.91667,24.26667,726464,Teteven,Bulgaria,BG,PPL,46,10790,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
aKkXinXi1Z,GeoPoint,42.96667,23.35,726524,Svoge,Bulgaria,BG,PPL,58,8964,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
8Gj4hImKpL,GeoPoint,43.74789,27.40911,726474,Tervel,Bulgaria,BG,PPLA2,40,6808,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
OJIFC9sfrs,GeoPoint,43.61959,25.35044,726534,Svishtov,Bulgaria,BG,PPL,62,32256,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
EKfyZFqveH,GeoPoint,41.76667,26.2,726546,Svilengrad,Bulgaria,BG,PPL,43,19279,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
6OEdvh07Vp,GeoPoint,42.76667,26.78333,726629,Sungurlare,Bulgaria,BG,PPL,39,3834,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
7G9i3GDqRr,GeoPoint,42.43278,25.64194,726848,Stara Zagora,Bulgaria,BG,PPLA,59,143431,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
TAmWgEMFBA,GeoPoint,42.5,24.31667,726723,Strelcha,Bulgaria,BG,PPL,48,4545,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
6iHkMxULAg,GeoPoint,43.33058,27.59908,726591,Suvorovo,Bulgaria,BG,PPL,61,4563,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
